publisher_name,match_type,keyword_group,clicks,spend,bookings,revenue,roas,cvr,ctr,recommendation,rationale
Google - US,Broad,Cheap Europe Philadelphia,4,6.89,0,0.0,0.0,0.0,0.3077,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap International Boston,17,53.94,0,0.0,0.0,0.0,0.0268,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap International DC,12,33.12,0,0.0,0.0,0.0,0.0119,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap International New York,18,51.16,0,0.0,0.0,0.0,0.0178,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Athens Sale,13,39.49,0,0.0,0.0,0.0,0.1008,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Florence Sale,7,16.31,0,0.0,0.0,0.0,0.0778,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Greece Sale,4,5.8,0,0.0,0.0,0.0,0.1905,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Madrid Sale,6,19.15,0,0.0,0.0,0.0,0.1111,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Seville Sale,1,2.15,0,0.0,0.0,0.0,0.0625,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Spain Sale,10,28.11,0,0.0,0.0,0.0,0.0503,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Valencia Sale,1,0.9,0,0.0,0.0,0.0,0.0667,HOLD_LOW_DATA,Low volume
Google - US,Broad,DC to Venice Sale,8,17.96,0,0.0,0.0,0.0,0.1081,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Athens Sale,6,11.93,0,0.0,0.0,0.0,0.0545,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Barcelona Sale,4,9.75,0,0.0,0.0,0.0,0.0377,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to France Sale,15,38.07,0,0.0,0.0,0.0,0.0159,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Greece Sale,5,13.06,0,0.0,0.0,0.0,0.0431,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Italy Sale,11,35.8,0,0.0,0.0,0.0,0.0312,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Madrid Sale,2,3.05,0,0.0,0.0,0.0,0.0364,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Rome Sale,5,17.57,0,0.0,0.0,0.0,0.051,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Spain Sale,13,29.61,0,0.0,0.0,0.0,0.0531,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Turin Sale,1,2.16,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Detroit to Venice Sale,1,2.45,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Discount Europe Boston,2,7.28,0,0.0,0.0,0.0,0.5,HOLD_LOW_DATA,Low volume
Google - US,Broad,Discount Europe Detroit,1,3.31,0,0.0,0.0,0.0,0.1,HOLD_LOW_DATA,Low volume
Google - US,Broad,Discount Europe Los Angeles,2,5.53,0,0.0,0.0,0.0,0.1,HOLD_LOW_DATA,Low volume
Google - US,Broad,Discount International Detroit,2,8.31,0,0.0,0.0,0.0,0.1111,HOLD_LOW_DATA,Low volume
Google - US,Broad,Discount International Philadelphia,1,5.49,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
